num,brand,model,year,description,location,price
1,Mercedes-Benz,E-Class,2006,"3.2 л (204 л.с.), дизель, АКПП, задний, 350 тыс. км",Майкоп,830000
1,Mercedes-Benz,Mercedes,1992,"2.3 л (136 л.с.), бензин, механика, задний, 220 тыс. км",Майкоп,300000
1,Mercedes-Benz,E-Class,1999,"2.8 л (193 л.с.), бензин, автомат, задний, 360 тыс. км",Дондуковская,280000
1,Mercedes-Benz,E-Class,1991,"3.0 л (220 л.с.), бензин, АКПП, задний, 352 тыс. км",Тахтамукай,200000
1,Mercedes-Benz,C-Class,2011,"1.8 л (156 л.с.), бензин, АКПП, задний, 134 тыс. км",Майкоп,900000
1,Mercedes-Benz,A-Class,2000,"1.6 л (102 л.с.), бензин, механика, передний, 228 тыс. км",Хатукай,250000
1,Mercedes-Benz,GL-Class,2008,"3.0 л (224 л.с.), дизель, АКПП, 4WD, 308 тыс. км",Майкоп,1430000
1,Mercedes-Benz,E-Class,2003,"1.8 л (163 л.с.), бензин, АКПП, задний, 346 тыс. км",Майкоп,685000
1,Mercedes-Benz,C-Class,1993,"2.2 л (150 л.с.), бензин, АКПП, задний, 301 тыс. км",Майкоп,180000
1,Mercedes-Benz,GLK-Class,2013,"2.1 л (170 л.с.), дизель, АКПП, 4WD, 165 тыс. км",Ханская,1700000
1,Mercedes-Benz,M-Class,2009,"3.0 л (224 л.с.), дизель, АКПП, 4WD, 380 тыс. км",Майкоп,1190000
1,Mercedes-Benz,M-Class,2005,"3.5 л (272 л.с.), бензин, АКПП, 4WD, 161 тыс. км",Майкоп,1100000
1,Mercedes-Benz,Mercedes,1990,"2.3 л (132 л.с.), бензин, механика, задний, 100 тыс. км",Майкоп,160000
1,Mercedes-Benz,C-Class,2010,"1.8 л (204 л.с.), бензин, АКПП, задний, 250 тыс. км",Майкоп,1100000
1,Mercedes-Benz,GLC,2018,"2.1 л (204 л.с.), дизель, АКПП, 4WD, 81 тыс. км",Яблоновский,3700000
1,Mercedes-Benz,GLS-Class,2021,"3.0 л (367 л.с.), бензин, автомат, 4WD, 12 тыс. км",Яблоновский,11600000
1,Mercedes-Benz,GLK-Class,2013,"2.1 л (170 л.с.), дизель, АКПП, 4WD, 201 тыс. км",Яблоновский,1749000
1,Mercedes-Benz,C-Class,2009,"1.8 л (156 л.с.), бензин, АКПП, задний, 205 тыс. км",Белореченск (≈ 30 км),600000
1,Mercedes-Benz,C-Class,2001,"2.0 л (129 л.с.), бензин, АКПП, задний, 227 тыс. км",Белореченск (≈ 30 км),340000
1,Mercedes-Benz,S-Class,1997,"3.2 л (231 л.с.), бензин, АКПП, задний, 330 тыс. км",Белореченск (≈ 30 км),950000
1,Mercedes-Benz,GLA-Class,2014,"1.6 л (156 л.с.), бензин, робот, передний, 99 тыс. км",Белореченск (≈ 30 км),1630000
1,Mercedes-Benz,E-Class,2008,"3.0 л (231 л.с.), бензин, АКПП, задний, 162 тыс. км",Белореченск (≈ 30 км),700000
